Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Lab Air supply pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.6207848124	25536.5214843750	-0.0297655910	23424.7929687500	NaN	21082.3136718750	23424.7929687500	21082.3136718750	11082.3136718750	613.5000000000	18.0640809648	21082.3136718750
0.6207963793	25412.6074218750	-0.0317732506	23424.7929687500	NaN	21082.3136718750	23424.7929687500	21082.3136718750	11082.3136718750	613.5000000000	18.0640809648	21082.3136718750
0.6208079583	25377.3417968750	-0.0308223981	23424.7929687500	NaN	21082.3136718750	23424.7929687500	21082.3136718750	11082.3136718750	613.5000000000	18.0640809648	21082.3136718750
0.6208195492	25384.3808593750	-0.0330645256	23424.7929687500	NaN	21082.3136718750	23424.7929687500	21082.3136718750	11082.3136718750	613.5000000000	18.0640809648	21082.3136718750
0.6208311176	25276.0371093750	-0.0254160035	23803.1152343750	NaN	21422.8037109375	23803.1152343750	21422.8037109375	11422.8037109375	613.5000000000	18.6190769534	21422.8037109375
0.6208426781	25291.5585937500	-0.0285590813	23803.1152343750	NaN	21422.8037109375	23803.1152343750	21422.8037109375	11422.8037109375	613.5000000000	18.6190769534	21422.8037109375
0.6208542464	25375.7207031250	-0.0380252302	23803.1152343750	NaN	21422.8037109375	23803.1152343750	21422.8037109375	11422.8037109375	613.5000000000	18.6190769534	21422.8037109375
0.6208658369	25580.5527343750	-0.0318539143	23803.1152343750	NaN	21422.8037109375	23803.1152343750	21422.8037109375	11422.8037109375	613.5000000000	18.6190769534	21422.8037109375
0.6208774057	25324.5332031250	-0.0344562829	23803.1152343750	NaN	21422.8037109375	23803.1152343750	21422.8037109375	11422.8037109375	613.5000000000	18.6190769534	21422.8037109375
0.6208889968	25338.0312500000	-0.0329202898	23701.0859375000	NaN	21330.9773437500	23701.0859375000	21330.9773437500	11330.9773437500	613.5000000000	18.4694007233	21330.9773437500
0.6209005444	25330.5410156250	-0.0328334756	23701.0859375000	NaN	21330.9773437500	23701.0859375000	21330.9773437500	11330.9773437500	613.5000000000	18.4694007233	21330.9773437500
0.6209121181	25336.5625000000	-0.0333755501	23701.0859375000	NaN	21330.9773437500	23701.0859375000	21330.9773437500	11330.9773437500	613.5000000000	18.4694007233	21330.9773437500
0.6209236938	25351.0214843750	-0.0359259695	23701.0859375000	NaN	21330.9773437500	23701.0859375000	21330.9773437500	11330.9773437500	613.5000000000	18.4694007233	21330.9773437500
0.6209352704	25307.4218750000	-0.0376472138	23701.0859375000	NaN	21330.9773437500	23701.0859375000	21330.9773437500	11330.9773437500	613.5000000000	18.4694007233	21330.9773437500
0.6209468509	25186.8535156250	-0.0368481129	23358.9472656250	NaN	21023.0525390625	23358.9472656250	21023.0525390625	11023.0525390625	613.5000000000	17.9674858012	21023.0525390625
0.6209584225	25248.4960937500	-0.0371673405	23358.9472656250	NaN	21023.0525390625	23358.9472656250	21023.0525390625	11023.0525390625	613.5000000000	17.9674858012	21023.0525390625
0.6209699922	25235.7382812500	-0.0307765994	23358.9472656250	NaN	21023.0525390625	23358.9472656250	21023.0525390625	11023.0525390625	613.5000000000	17.9674858012	21023.0525390625
0.6209815580	25162.3808593750	-0.0418703370	23358.9472656250	NaN	21023.0525390625	23358.9472656250	21023.0525390625	11023.0525390625	613.5000000000	17.9674858012	21023.0525390625
0.6209931576	25095.3535156250	-0.0352943465	23358.9472656250	NaN	21023.0525390625	23358.9472656250	21023.0525390625	11023.0525390625	613.5000000000	17.9674858012	21023.0525390625
0.6210047338	25168.4882812500	-0.0313371308	23458.6875000000	NaN	21112.8187500000	23458.6875000000	21112.8187500000	11112.8187500000	613.5000000000	18.1138039935	21112.8187500000
0.6210162870	25082.3242187500	-0.0407684147	23458.6875000000	NaN	21112.8187500000	23458.6875000000	21112.8187500000	11112.8187500000	613.5000000000	18.1138039935	21112.8187500000
0.6210278699	25149.2675781250	-0.0402065180	23458.6875000000	NaN	21112.8187500000	23458.6875000000	21112.8187500000	11112.8187500000	613.5000000000	18.1138039935	21112.8187500000
0.6210394621	25246.9511718750	-0.0381927043	23458.6875000000	NaN	21112.8187500000	23458.6875000000	21112.8187500000	11112.8187500000	613.5000000000	18.1138039935	21112.8187500000
0.6210510316	25177.6523437500	-0.0376615673	23458.6875000000	NaN	21112.8187500000	23458.6875000000	21112.8187500000	11112.8187500000	613.5000000000	18.1138039935	21112.8187500000
0.6210625966	25132.3457031250	-0.0332067087	23310.2128906250	NaN	20979.1916015625	23310.2128906250	20979.1916015625	10979.1916015625	613.5000000000	17.8959928306	20979.1916015625
0.6210741791	24966.1367187500	-0.0368549488	23310.2128906250	NaN	20979.1916015625	23310.2128906250	20979.1916015625	10979.1916015625	613.5000000000	17.8959928306	20979.1916015625
0.6210857422	24864.7480468750	-0.0305605903	23310.2128906250	NaN	20979.1916015625	23310.2128906250	20979.1916015625	10979.1916015625	613.5000000000	17.8959928306	20979.1916015625
0.6210973189	24798.2011718750	-0.0373293497	23310.2128906250	NaN	20979.1916015625	23310.2128906250	20979.1916015625	10979.1916015625	613.5000000000	17.8959928306	20979.1916015625
0.6211089019	24803.8183593750	-0.0315285325	23310.2128906250	NaN	20979.1916015625	23310.2128906250	20979.1916015625	10979.1916015625	613.5000000000	17.8959928306	20979.1916015625
